Time,PAH-VFD_SPD,PAH-OA_FLOW,PAH-ST1,PAH-FAN_RUN_CMD,PAH-SA_T,PAH-DMP_POS
2021-02-01 00:00:00+08:00,0,0,0,0,19.2,2.1
2021-02-01 00:10:00+08:00,0,0,0,0,19.176793,2.1
2021-02-01 00:20:00+08:00,0,0,0,0,19.1,2.1
2021-02-01 00:30:00+08:00,0,0,0,0,19.1,2.1
2021-02-01 00:40:00+08:00,0,0,0,0,19.028476,2.1
2021-02-01 00:50:00+08:00,0,0,0,0,19,2.1
2021-02-01 01:00:00+08:00,0,0,0,0,19,2.1
2021-02-01 01:10:00+08:00,0,0,0,0,19.0131485,2.1
2021-02-01 01:20:00+08:00,0,0,0,0,19.1,2.1
2021-02-01 01:30:00+08:00,0,0,0,0,19.14480033,2.1
2021-02-01 01:40:00+08:00,0,0,0,0,19.2,2.1
2021-02-01 01:50:00+08:00,0,0,0,0,19.34122517,2.1
2021-02-01 02:00:00+08:00,0,0,0,0,19.4,2.1
2021-02-01 02:10:00+08:00,0,0,0,0,19.4,2.1
2021-02-01 02:20:00+08:00,0,0,0,0,19.4,2.1
2021-02-01 02:30:00+08:00,0,0,0,0,19.45639517,2.1
2021-02-01 02:40:00+08:00,0,0,0,0,19.5,2.1
2021-02-01 02:50:00+08:00,0,0,0,0,19.5,2.1
2021-02-01 03:00:00+08:00,0,0,0,0,19.5,2.1
2021-02-01 03:10:00+08:00,0,0,0,0,19.5,2.1
2021-02-01 03:20:00+08:00,0,0,0,0,19.5,2.1
2021-02-01 03:30:00+08:00,0,0,0,0,19.5,2.1
2021-02-01 03:40:00+08:00,0,0,0,0,19.5,2.1
2021-02-01 03:50:00+08:00,0,0,0,0,19.5,2.1
2021-02-01 04:00:00+08:00,0,0,0,0,19.5,2.1
2021-02-01 04:10:00+08:00,0,0,0,0,19.50128717,2.1
2021-02-01 04:20:00+08:00,0,0,0,0,19.6,2.1
2021-02-01 04:30:00+08:00,0,0,0,0,19.6,2.1
2021-02-01 04:40:00+08:00,0,0,0,0,19.6,2.1
2021-02-01 04:50:00+08:00,0,0,0,0,19.6,2.1
2021-02-01 05:00:00+08:00,0,0,0,0,19.6,2.1
2021-02-01 05:10:00+08:00,0,0,0,0,19.6,2.1
2021-02-01 05:20:00+08:00,0,0,0,0,19.6,2.1
2021-02-01 05:30:00+08:00,0,0,0,0,19.6,2.1
2021-02-01 05:40:00+08:00,0,0,0,0,19.6,2.1
