Time,Temperature,RH,GloblRad
2021-02-01 01:00:00+08:00,16.6,79,0
2021-02-01 01:10:00+08:00,16.5,79.83333333,0
2021-02-01 01:20:00+08:00,16.4,80.66666667,0
2021-02-01 01:30:00+08:00,16.3,81.5,0
2021-02-01 01:40:00+08:00,16.2,82.33333333,0
2021-02-01 01:50:00+08:00,16.1,83.16666667,0
2021-02-01 02:00:00+08:00,16,84,0
2021-02-01 02:10:00+08:00,16,83.66666667,0
2021-02-01 02:20:00+08:00,16,83.33333333,0
2021-02-01 02:30:00+08:00,16,83,0
2021-02-01 02:40:00+08:00,16,82.66666667,0
2021-02-01 02:50:00+08:00,16,82.33333333,0
2021-02-01 03:00:00+08:00,16,82,0
2021-02-01 03:10:00+08:00,15.91666667,82.5,0
2021-02-01 03:20:00+08:00,15.83333333,83,0
2021-02-01 03:30:00+08:00,15.75,83.5,0
2021-02-01 03:40:00+08:00,15.66666667,84,0
2021-02-01 03:50:00+08:00,15.58333333,84.5,0
2021-02-01 04:00:00+08:00,15.5,85,0
2021-02-01 04:10:00+08:00,15.45,85,0
2021-02-01 04:20:00+08:00,15.4,85,0
2021-02-01 04:30:00+08:00,15.35,85,0
2021-02-01 04:40:00+08:00,15.3,85,0
2021-02-01 04:50:00+08:00,15.25,85,0
2021-02-01 05:00:00+08:00,15.2,85,0
2021-02-01 05:10:00+08:00,15.15,85.33333333,0
2021-02-01 05:20:00+08:00,15.1,85.66666667,0
2021-02-01 05:30:00+08:00,15.05,86,0
2021-02-01 05:40:00+08:00,15,86.33333333,0
2021-02-01 05:50:00+08:00,14.95,86.66666667,0
2021-02-01 06:00:00+08:00,14.9,87,0
2021-02-01 06:10:00+08:00,14.95,86.66666667,0.003333333
2021-02-01 06:20:00+08:00,15,86.33333333,0.006666667
2021-02-01 06:30:00+08:00,15.05,86,0.01
2021-02-01 06:40:00+08:00,15.1,85.66666667,0.013333333
2021-02-01 06:50:00+08:00,15.15,85.33333333,0.016666667
2021-02-01 07:00:00+08:00,15.2,85,0.02
2021-02-01 07:10:00+08:00,15.4,84,0.083333333
2021-02-01 07:20:00+08:00,15.6,83,0.146666667
2021-02-01 07:30:00+08:00,15.8,82,0.21
2021-02-01 07:40:00+08:00,16,81,0.273333333
2021-02-01 07:50:00+08:00,16.2,80,0.336666667
2021-02-01 08:00:00+08:00,16.4,79,0.4
2021-02-01 08:10:00+08:00,16.81666667,77.5,0.511666667
2021-02-01 08:20:00+08:00,17.23333333,76,0.623333333
2021-02-01 08:30:00+08:00,17.65,74.5,0.735
2021-02-01 08:40:00+08:00,18.06666667,73,0.846666667
2021-02-01 08:50:00+08:00,18.48333333,71.5,0.958333333
2021-02-01 09:00:00+08:00,18.9,70,1.07
2021-02-01 09:10:00+08:00,19.15,68.33333333,1.18
2021-02-01 09:20:00+08:00,19.4,66.66666667,1.29
2021-02-01 09:30:00+08:00,19.65,65,1.4
2021-02-01 09:40:00+08:00,19.9,63.33333333,1.51
2021-02-01 09:50:00+08:00,20.15,61.66666667,1.62
2021-02-01 10:00:00+08:00,20.4,60,1.73
2021-02-01 10:10:00+08:00,20.85,58,1.823333333
2021-02-01 10:20:00+08:00,21.3,56,1.916666667
2021-02-01 10:30:00+08:00,21.75,54,2.01
2021-02-01 10:40:00+08:00,22.2,52,2.103333333
2021-02-01 10:50:00+08:00,22.65,50,2.196666667
2021-02-01 11:00:00+08:00,23.1,48,2.29
2021-02-01 11:10:00+08:00,23.18333333,47.5,2.333333333
2021-02-01 11:20:00+08:00,23.26666667,47,2.376666667
2021-02-01 11:30:00+08:00,23.35,46.5,2.42
2021-02-01 11:40:00+08:00,23.43333333,46,2.463333333
2021-02-01 11:50:00+08:00,23.51666667,45.5,2.506666667
2021-02-01 12:00:00+08:00,23.6,45,2.55
2021-02-01 12:10:00+08:00,23.6,47,2.533333333
2021-02-01 12:20:00+08:00,23.6,49,2.516666667
2021-02-01 12:30:00+08:00,23.6,51,2.5
2021-02-01 12:40:00+08:00,23.6,53,2.483333333
2021-02-01 12:50:00+08:00,23.6,55,2.466666667
2021-02-01 13:00:00+08:00,23.6,57,2.45
2021-02-01 13:10:00+08:00,23.61666667,56.66666667,2.403333333
2021-02-01 13:20:00+08:00,23.63333333,56.33333333,2.356666667
2021-02-01 13:30:00+08:00,23.65,56,2.31
2021-02-01 13:40:00+08:00,23.66666667,55.66666667,2.263333333
2021-02-01 13:50:00+08:00,23.68333333,55.33333333,2.216666667
2021-02-01 14:00:00+08:00,23.7,55,2.17
2021-02-01 14:10:00+08:00,23.63333333,54.33333333,2.11
2021-02-01 14:20:00+08:00,23.56666667,53.66666667,2.05
2021-02-01 14:30:00+08:00,23.5,53,1.99
2021-02-01 14:40:00+08:00,23.43333333,52.33333333,1.93
2021-02-01 14:50:00+08:00,23.36666667,51.66666667,1.87
2021-02-01 15:00:00+08:00,23.3,51,1.81
2021-02-01 15:10:00+08:00,23.1,50.66666667,1.715
2021-02-01 15:20:00+08:00,22.9,50.33333333,1.62
2021-02-01 15:30:00+08:00,22.7,50,1.525
2021-02-01 15:40:00+08:00,22.5,49.66666667,1.43
2021-02-01 15:50:00+08:00,22.3,49.33333333,1.335
2021-02-01 16:00:00+08:00,22.1,49,1.24
2021-02-01 16:10:00+08:00,21.9,49,1.121666667
2021-02-01 16:20:00+08:00,21.7,49,1.003333333
2021-02-01 16:30:00+08:00,21.5,49,0.885
2021-02-01 16:40:00+08:00,21.3,49,0.766666667
2021-02-01 16:50:00+08:00,21.1,49,0.648333333
2021-02-01 17:00:00+08:00,20.9,49,0.53
2021-02-01 17:10:00+08:00,20.76666667,49.5,0.451666667
2021-02-01 17:20:00+08:00,20.63333333,50,0.373333333
2021-02-01 17:30:00+08:00,20.5,50.5,0.295
2021-02-01 17:40:00+08:00,20.36666667,51,0.216666667
2021-02-01 17:50:00+08:00,20.23333333,51.5,0.138333333
2021-02-01 18:00:00+08:00,20.1,52,0.06
2021-02-01 18:10:00+08:00,20.13333333,52.16666667,0.05
2021-02-01 18:20:00+08:00,20.16666667,52.33333333,0.04
2021-02-01 18:30:00+08:00,20.2,52.5,0.03
2021-02-01 18:40:00+08:00,20.23333333,52.66666667,0.02
2021-02-01 18:50:00+08:00,20.26666667,52.83333333,0.01
2021-02-01 19:00:00+08:00,20.3,53,0
2021-02-01 19:10:00+08:00,20.11666667,54.83333333,0
2021-02-01 19:20:00+08:00,19.93333333,56.66666667,0
2021-02-01 19:30:00+08:00,19.75,58.5,0
2021-02-01 19:40:00+08:00,19.56666667,60.33333333,0
2021-02-01 19:50:00+08:00,19.38333333,62.16666667,0
2021-02-01 20:00:00+08:00,19.2,64,0
2021-02-01 20:10:00+08:00,19.08333333,64.83333333,0
2021-02-01 20:20:00+08:00,18.96666667,65.66666667,0
2021-02-01 20:30:00+08:00,18.85,66.5,0
2021-02-01 20:40:00+08:00,18.73333333,67.33333333,0
2021-02-01 20:50:00+08:00,18.61666667,68.16666667,0
2021-02-01 21:00:00+08:00,18.5,69,0
2021-02-01 21:10:00+08:00,18.45,69.5,0
2021-02-01 21:20:00+08:00,18.4,70,0
2021-02-01 21:30:00+08:00,18.35,70.5,0
2021-02-01 21:40:00+08:00,18.3,71,0
2021-02-01 21:50:00+08:00,18.25,71.5,0
2021-02-01 22:00:00+08:00,18.2,72,0
2021-02-01 22:10:00+08:00,18.06666667,72.66666667,0
2021-02-01 22:20:00+08:00,17.93333333,73.33333333,0
2021-02-01 22:30:00+08:00,17.8,74,0
2021-02-01 22:40:00+08:00,17.66666667,74.66666667,0
2021-02-01 22:50:00+08:00,17.53333333,75.33333333,0
2021-02-01 23:00:00+08:00,17.4,76,0
2021-02-01 23:10:00+08:00,17.35,76.5,0
2021-02-01 23:20:00+08:00,17.3,77,0
2021-02-01 23:30:00+08:00,17.25,77.5,0
2021-02-01 23:40:00+08:00,17.2,78,0
2021-02-01 23:50:00+08:00,17.15,78.5,0
2021-02-02 00:00:00+08:00,17.1,79,0
2021-02-02 00:10:00+08:00,17,79,0
