Time,PET_Indoor,PET_Target,SP_Target
2021-04-01 00:00:00+08:00,22.52054333,22.99,23
2021-04-01 00:10:00+08:00,22.518,23,23.2
2021-04-01 00:20:00+08:00,22.517,23,23.2
2021-04-01 00:30:00+08:00,22.50152533,22.99,23.2
2021-04-01 00:40:00+08:00,22.444,23.03,23.3
2021-04-01 00:50:00+08:00,22.452,22.99,23.2
2021-04-01 01:00:00+08:00,22.449,22.98,23.2
2021-04-01 01:10:00+08:00,22.449,22.98,23.2
2021-04-01 01:20:00+08:00,22.451,22.98,23.2
2021-04-01 01:30:00+08:00,22.449,22.98,23.2
2021-04-01 01:40:00+08:00,22.449,22.98,23.2
2021-04-01 01:50:00+08:00,22.449,22.98,23.2
2021-04-01 02:00:00+08:00,22.449,22.98,23.2
2021-04-01 02:10:00+08:00,22.449,22.98,23.2
2021-04-01 02:20:00+08:00,22.449,22.98,23.2
2021-04-01 02:30:00+08:00,22.44562583,22.98,23.2
2021-04-01 02:40:00+08:00,22.44602333,22.98,23.2
2021-04-01 02:50:00+08:00,22.449,22.98,23.2
2021-04-01 03:00:00+08:00,22.449,22.98,23.2
2021-04-01 03:10:00+08:00,22.449,22.98,23.2
2021-04-01 03:20:00+08:00,22.449,22.98,23.2
2021-04-01 03:30:00+08:00,22.449,22.98,23.2
2021-04-01 03:40:00+08:00,22.449,22.98,23.2
2021-04-01 03:50:00+08:00,22.449,22.98,23.2
2021-04-01 04:00:00+08:00,22.448,22.98,23.2
2021-04-01 04:10:00+08:00,22.448,22.98,23.2
2021-04-01 04:20:00+08:00,22.448,22.98,23.2
2021-04-01 04:30:00+08:00,22.448,22.98,23.2
2021-04-01 04:40:00+08:00,22.449,22.98,23.2
2021-04-01 04:50:00+08:00,22.45127933,22.98,23.2
2021-04-01 05:00:00+08:00,22.5130095,22.98,23.2
2021-04-01 05:10:00+08:00,22.517,22.98,23.2
2021-04-01 05:20:00+08:00,22.517,23.03,23.3
2021-04-01 05:30:00+08:00,22.517,23.03,23.3
2021-04-01 05:40:00+08:00,22.517,23.03,23.3
2021-04-01 05:50:00+08:00,22.517,23.03,23.3
2021-04-01 06:00:00+08:00,22.516,23.03,23.3
2021-04-01 06:10:00+08:00,22.517,23,23.2
2021-04-01 06:20:00+08:00,22.517,23,23.2
2021-04-01 06:30:00+08:00,22.518,23,23.2
2021-04-01 06:40:00+08:00,22.518,23,23.2
2021-04-01 06:50:00+08:00,22.518,23,23.2
2021-04-01 07:00:00+08:00,22.518,23,23.2
2021-04-01 07:10:00+08:00,22.519,23,23.2
2021-04-01 07:20:00+08:00,22.519,23,23.2
2021-04-01 07:30:00+08:00,22.57433533,23.02,23.2
2021-04-01 07:40:00+08:00,22.8374705,22.98,23
2021-04-01 07:50:00+08:00,23.06221167,22.99,23
2021-04-01 08:00:00+08:00,23.63072233,22.98,23
2021-04-01 08:10:00+08:00,22.599,22.98,23
2021-04-01 08:20:00+08:00,22.8024675,22.98,23
2021-04-01 08:30:00+08:00,22.508831,22.98,23
2021-04-01 08:40:00+08:00,22.42060917,22.98,23
2021-04-01 08:50:00+08:00,22.91988783,22.98,23
2021-04-01 09:00:00+08:00,22.552838,22.98,23
2021-04-01 09:10:00+08:00,22.50369983,23,23.2
2021-04-01 09:20:00+08:00,22.953623,22.97,22.9
2021-04-01 09:30:00+08:00,22.40658483,23,23.3
2021-04-01 09:40:00+08:00,22.79323817,22.99,23
2021-04-01 09:50:00+08:00,22.93937167,23,23
2021-04-01 10:00:00+08:00,22.40659967,23.005,23.3
2021-04-01 10:10:00+08:00,22.9278,22.975,22.9
2021-04-01 10:20:00+08:00,22.8597545,23.02,23.1
2021-04-01 10:30:00+08:00,22.52802367,22.99,23.2
2021-04-01 10:40:00+08:00,22.93623267,22.97,22.9
2021-04-01 10:50:00+08:00,22.72009283,23.01,23
2021-04-01 11:00:00+08:00,22.64791233,23.01,23
2021-04-01 11:10:00+08:00,23.06732833,23.01,23
2021-04-01 11:20:00+08:00,22.53750233,23.01,23
2021-04-01 11:30:00+08:00,22.898717,23.01,23
2021-04-01 11:40:00+08:00,22.994105,23.01,23
2021-04-01 11:50:00+08:00,22.46849983,23.01,23
2021-04-01 12:00:00+08:00,23.01375583,23.01,23
2021-04-01 12:10:00+08:00,22.91886117,22.99,23
2021-04-01 12:20:00+08:00,22.5229915,22.99,23.2
2021-04-01 12:30:00+08:00,23.04435117,23.01,22.9
2021-04-01 12:40:00+08:00,22.8320265,23.015,23.1
2021-04-01 12:50:00+08:00,22.67204717,22.99,23.1
2021-04-01 13:00:00+08:00,23.08383217,23.01,22.9
2021-04-01 13:10:00+08:00,22.5262785,22.98,23.2
2021-04-01 13:20:00+08:00,23.03217267,23.01,22.9
2021-04-01 13:30:00+08:00,22.6403265,23.02,23.2
2021-04-01 13:40:00+08:00,22.89102383,23.01,23
2021-04-01 13:50:00+08:00,22.95647683,23.02,22.9
2021-04-01 14:00:00+08:00,22.578997,22.99,22.9
